,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
226,068760,KR7068760008,셀트리온제약,KOSDAQ,우량기업부,43950,2,-700,-1.57,44600,45750,43250,84538,3708967175,1951482491400,44402332,KSQ
227,083650,KR7083650002,비에이치아이,KOSDAQ,우량기업부,61300,1,4800,8.5,58400,63000,56300,1071213,64006183750,1896890187500,30944375,KSQ
228,462870,KR7462870007,시프트업,KOSPI,,31700,1,700,2.26,31000,31850,30950,39687,1245794750,1862117913000,58741890,STK
229,011210,KR7011210002,현대위아,KOSPI,,67800,1,1600,2.42,66100,68800,65900,70768,4776275150,1843826627400,27195083,STK
230,089030,KR7089030001,테크윙,KOSDAQ,중견기업부,49250,2,-100,-0.2,50200,51300,47350,557788,27361066700,1824892016250,37053645,KSQ
231,020150,KR7020150009,롯데에너지머티리얼즈,KOSPI,,34450,2,-200,-0.58,35100,35300,33200,160431,5456055575,1803990200350,52365463,STK
232,089970,KR7089970008,브이엠,KOSDAQ,우량기업부,68200,2,-300,-0.44,69300,69400,64600,566125,37855784850,1795485373000,26326765,KSQ
233,008770,KR7008770000,호텔신라,KOSPI,,45400,1,2000,4.61,43650,45600,43450,258404,11589652000,1781864693400,39248121,STK
234,395400,KR7395400005,SK리츠,KOSPI,,5880,1,160,2.8,5700,5880,5600,164360,946968095,1769983605600,301017620,STK
235,0009K0,KR70009K0001,에임드바이오,KOSDAQ,기술성장기업부,27250,1,200,0.74,26950,27600,26350,117792,3162164700,1762289137250,64671161,KSQ
236,000120,KR7000120006,CJ대한통운,KOSPI,,77200,1,3200,4.32,73900,77200,73800,54113,4102645850,1761112956800,22812344,STK
237,000155,KR7000151001,두산우,KOSPI,,439500,1,3500,0.8,438000,444000,424500,9299,4036448750,1756445049000,3996462,STK
238,023590,KR7023590003,다우기술,KOSPI,,40250,1,1050,2.68,39500,40500,39000,22277,888238850,1742314308000,43287312,STK
239,060370,KR7060370004,LS마린솔루션,KOSDAQ,우량기업부,32500,2,-1600,-4.69,34400,34550,31950,138654,4535868000,1697762755000,52238854,KSQ
